Date,Open,High,Low,Close,Volume,FiveMVA,FIfteenMVA,Signal,ActiveValue,ActiveReturn,PassiveValue,PassiveReturn
5/31/2023,121.45,122.04,119.17,120.58,72800800,117.7020006,114.4846675,,97506.62,-0.02,108993.95,0.09
6/1/2023,120.69,123.49,119.93,122.77,54375100,118.8200014,115.4153341,,99277.55,-0.01,110973.52,0.11
6/2/2023,124.92,126.39,124.02,124.25,61215000,120.0240008,116.2540005,,100474.35,0,112311.31,0.12
6/5/2023,123.36,125.8,123.03,125.3,47950100,121.8740008,117.0586671,,101323.43,0.01,113260.42,0.13
6/6/2023,125.07,127.4,125,126.61,45695200,122.9120012,118.0613339,,102382.76,0.02,114444.55,0.14
6/7/2023,127.01,127.37,120.63,121.23,95663300,123.9020006,119.0886675,,98032.24,-0.02,109581.49,0.1
6/8/2023,123.01,125.63,122.26,124.25,62159300,124.0320008,119.6106675,,100474.35,0,112311.31,0.12
6/9/2023,124.08,125.8,123.19,123.43,51330000,124.3280014,120.1940009,,99811.26,0,111570.1,0.12
6/12/2023,124.02,126.78,123.53,126.57,51338000,124.1640014,120.5460007,,102350.41,0.02,114408.39,0.14
6/13/2023,128.12,128.41,125.18,126.66,50564800,124.4180008,121.2340007,,102423.19,0.02,114489.75,0.14
6/14/2023,126.7,126.95,124.12,126.42,52422500,124.4280014,122.0106675,,102229.11,0.02,114272.8,0.14
6/15/2023,125.21,127.69,124.32,127.11,60458500,125.4660004,122.7726675,,102787.08,0.03,114896.51,0.15
6/16/2023,127.71,127.9,125.3,125.49,84188100,126.0380006,123.4633343,,101477.07,0.01,113432.16,0.13
6/20/2023,124.97,127.25,124.5,125.78,56930100,126.4500002,124.1626675,,101711.58,0.02,113694.3,0.14
6/21/2023,125.64,126.73,123.85,124.83,52137700,126.292,124.5406673,,100943.37,0.01,112835.58,0.13
6/22/2023,125.31,130.33,125.14,130.15,90354600,125.9259996,124.7520005,,105245.36,0.05,117644.4,0.18
